                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4389,                 1.0574,                   2.08,                0.91096,                0.86799,                0.88086,                0.41133,                 1.7113,                 1.2563,                 2.6908,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.3806,                 1.0304,                 2.0674,                0.76096,                0.73352,                0.63567,                0.33716,                 1.6935,                 1.4773,                 2.5018,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.4376,                 1.0877,                 2.0814,                0.66411,                 0.7201,                0.58319,                0.34506,                 1.5076,                 1.5399,                  2.169,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3761,                 1.0231,                 1.9976,                0.67702,                0.64833,                0.56556,                0.37242,                 1.3699,                 1.5168,                 1.9817,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.406,                 1.0439,                 2.0531,                0.80741,                0.76555,                0.73513,                0.46654,                 1.3133,                 1.3021,                 1.8984,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3255,                0.95826,                 1.9263,                0.93921,                0.27512,                0.27852,                0.16512,                 1.4009,                 1.3684,                 2.0319,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.4333,                  1.025,                 2.1101,                0.93092,                0.53282,                0.59606,                0.33644,                 1.4988,                 1.2306,                 2.1177,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3522,                0.99404,                 2.0252,                0.90711,                0.85646,                0.92366,                0.47192,                  1.483,                 1.2033,                 2.1335,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.2953,                0.96665,                 2.0294,                0.91836,                 0.9033,                0.98226,                 0.5933,                 1.2525,                0.97177,                 1.8142,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.364,                 1.0246,                 2.1359,                0.94706,                0.61252,                0.67585,                0.43532,                 1.1697,                 0.8858,                 1.7375,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.2614,                0.96422,                 1.9478,                0.95366,                0.96941,                0.96912,                0.61873,                 1.1837,                 0.8301,                 1.7734,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2511,                0.91872,                 1.9285,                0.95488,                0.96936,                0.96914,                0.61753,                 1.1728,                0.83128,                 1.7732,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3399,                0.97506,                 1.9882,                0.98931,                 0.9652,                0.98696,                0.61766,                 1.1548,                0.81776,                  1.718,             0.00094085,             0.00094085,             0.00094085
                     47,                   1.29,                0.92833,                 1.9586,                0.95077,                0.91571,                 0.9216,                0.61211,                 1.1668,                0.77745,                 1.7106,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2279,                 0.8824,                 1.8634,                0.90771,                0.58852,                0.60984,                0.42199,                 1.1497,                0.76033,                 1.7058,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2889,                0.96326,                 1.9558,                0.99206,                0.58483,                0.61463,                 0.4228,                 1.2119,                0.78854,                 1.7738,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2381,                0.90589,                 1.9069,                0.98372,                0.27512,                0.27835,                0.21688,                 1.2481,                0.85125,                 1.8235,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.2791,                0.92275,                 1.9259,                0.97126,                0.61448,                0.63613,                0.41876,                 1.2631,                0.90697,                 1.8725,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.4107,                 1.0743,                 2.1598,                 0.9916,                0.61483,                  0.632,                 0.4008,                 1.2985,                0.92997,                  1.921,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2963,                0.93596,                 1.9206,                 0.9925,                0.61483,                0.63219,                0.39415,                 1.2904,                0.96583,                  1.887,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2187,                0.89699,                 1.8739,                0.97855,                0.27512,                0.27841,                 0.2213,                 1.2712,                 1.0165,                 1.8597,             0.00080883,             0.00080883,             0.00080883
                     55,                   1.23,                0.95493,                 1.9206,                0.97643,                0.27512,                0.27855,                0.23197,                 1.2713,                 1.0801,                 1.8446,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2543,                0.91906,                 1.9342,                0.96907,                0.27512,                0.27856,                0.22084,                 1.3481,                 1.0783,                 1.9068,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2485,                0.89192,                 1.8812,                0.96476,                0.27512,                0.27874,                 0.2184,                 1.3511,                 1.0473,                 1.8946,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.2156,                 0.8535,                  1.865,                0.96416,                0.27512,                0.27904,                0.22322,                 1.2896,                0.98954,                 1.8443,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2467,                0.89177,                 1.9251,                0.91167,                0.61483,                0.62168,                0.36861,                 1.2217,                0.96285,                 1.8085,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1116,                0.85598,                 1.7502,                0.96268,                0.27512,                0.27856,                0.22658,                 1.1762,                0.93229,                 1.7803,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1909,                0.86119,                 1.8133,                0.89694,                0.61483,                0.63266,                0.38507,                 1.1681,                0.89581,                 1.7695,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.2369,                0.89072,                 1.9072,                0.87043,                0.56829,                0.59231,                0.38622,                 1.1902,                0.91731,                 1.7835,              0.0006768,              0.0006768,              0.0006768
